Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.51     0.00       42     0.00     0.00  sObject::isInclude() const
  0.00      2.51     0.00       42     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<sObject*> >::max_size() const
  0.00      2.51     0.00       42     0.00     0.00  std::_List_iterator<sObject*>::operator*() const
  0.00      2.51     0.00       42     0.00     0.00  std::_List_base<sObject*, std::allocator<sObject*> >::_M_get_node()
  0.00      2.51     0.00       42     0.00     0.00  std::_List_base<sObject*, std::allocator<sObject*> >::_M_put_node(std::_List_node<sObject*>*)
  0.00      2.51     0.00       42     0.00     0.00  std::list<sObject*, std::allocator<sObject*> >::_M_create_node(sObject* const&)
  0.00      2.51     0.00       42     0.00     0.00  std::list<sObject*, std::allocator<sObject*> >::end()
  0.00      2.51     0.00       42     0.00     0.00  std::list<sObject*, std::allocator<sObject*> >::front()
  0.00      2.51     0.00       42     0.00     0.00  std::list<sObject*, std::allocator<sObject*> >::_M_erase(std::_List_iterator<sObject*>)
  0.00      2.51     0.00       42     0.00     0.00  std::list<sObject*, std::allocator<sObject*> >::_M_insert(std::_List_iterator<sObject*>, sObject* const&)
  0.00      2.51     0.00       42     0.00     0.00  std::list<sObject*, std::allocator<sObject*> >::pop_front()
  0.00      2.51     0.00       42     0.00     0.00  std::list<sObject*, std::allocator<sObject*> >::push_back(sObject* const&)
  0.00      2.51     0.00       41     0.00     0.00  sRoutDef::args()
  0.00      2.51     0.00       41     0.00     0.00  tType::operator==(BaseType) const
  0.00      2.51     0.00       38     0.00     0.00  sList<sExpr>::next(void*&) const
  0.00      2.51     0.00       37     0.00     0.00  sList<sExpr>::first(void*&) const
  0.00      2.51     0.00       36     0.00     0.00  sRoutDef::define(SymTable*, SymTable*, QuHeap*)
  0.00      2.51     0.00       36     0.00     0.00  sRoutDef::typecheck(SymTable*, SymTable*)
  0.00      2.51     0.00       36     0.00     0.00  sRoutDef::sRoutDef(tType const&, std::string*, sDefList*, sDefList*, sStmtList*, int, int)
  0.00      2.51     0.00       36     0.00     0.00  sRoutDef::~sRoutDef()
  0.00      2.51     0.00       35     0.00     0.00  quState::mapmask() const
  0.00      2.51     0.00       34     0.00     0.00  sDefList::object() const
  0.00      2.51     0.00       32     0.00     0.00  tValue::operator=(tValue const&)
  0.00      2.51     0.00       32     0.00     0.00  tType::isQuCond() const
  0.00      2.51     0.00       31     0.00     0.00  quBaseState::opend()
  0.00      2.51     0.00       31     0.00     0.00  quBaseState::opbegin()
  0.00      2.51     0.00       31     0.00     0.00  sObject::isCondDef() const
  0.00      2.51     0.00       30     0.00     0.00  quSubState::opend()
  0.00      2.51     0.00       30     0.00     0.00  terminfo::terminfo()
  0.00      2.51     0.00       30     0.00     0.00  quSubState::baseterms() const
